,loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,next_pymnt_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
10,8500.0,0.0819,267.11,RENT,75000.0,Not Verified,Mar-2019,low_risk,n,17.31,0.0,2.0,8.0,0.0,7667.0,12.0,w,8265.76,8265.76,259.37,259.37,234.24,25.13,0.0,0.0,0.0,267.11,May-2019,0.0,1.0,Individual,0.0,0.0,57756.0,1.0,7.0,1.0,1.0,6.0,50089.0,88.0,0.0,1.0,7667.0,77.0,18000.0,2.0,0.0,2.0,2.0,7220.0,10333.0,42.6,0.0,0.0,79.0,74.0,22.0,6.0,0.0,22.0,2.0,0.0,1.0,1.0,1.0,4.0,7.0,1.0,5.0,1.0,8.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,75000.0,57756.0,18000.0,57000.0,N,N
11,10000.0,0.11710000000000001,330.76,RENT,54000.0,Not Verified,Mar-2019,low_risk,n,21.49,0.0,2.0,18.0,0.0,8961.0,19.0,w,9721.28,9721.28,317.75,317.75,278.72,39.03,0.0,0.0,0.0,330.76,May-2019,0.0,1.0,Individual,0.0,0.0,42343.0,1.0,7.0,2.0,2.0,4.0,33382.0,51.0,1.0,2.0,5743.0,28.0,87000.0,2.0,0.0,3.0,4.0,2352.0,76039.0,10.5,0.0,0.0,55.0,271.0,9.0,4.0,0.0,9.0,4.0,0.0,3.0,3.0,10.0,10.0,8.0,11.0,11.0,3.0,18.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,152500.0,42343.0,85000.0,65500.0,N,N
12,30000.0,0.1033,642.3,MORTGAGE,100000.0,Source Verified,Mar-2019,low_risk,n,8.0,0.0,0.0,4.0,0.0,2428.0,12.0,w,29504.04,29504.04,607.87,607.87,495.96,111.91,0.0,0.0,0.0,642.3,May-2019,0.0,1.0,Individual,0.0,0.0,17323.0,0.0,1.0,1.0,1.0,11.0,14895.0,75.0,0.0,1.0,1776.0,35.0,30200.0,0.0,4.0,2.0,2.0,4331.0,26772.0,8.3,0.0,0.0,133.0,132.0,17.0,11.0,0.0,31.0,11.0,0.0,2.0,2.0,2.0,3.0,5.0,3.0,7.0,2.0,4.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,50200.0,17323.0,29200.0,20000.0,N,N
13,15800.0,0.16399999999999998,387.6,MORTGAGE,62000.0,Source Verified,Mar-2019,low_risk,n,8.44,0.0,1.0,5.0,0.0,15894.0,18.0,w,15527.56,15527.56,358.81,358.81,272.44,86.37,0.0,0.0,0.0,387.6,May-2019,0.0,1.0,Individual,0.0,0.0,201797.0,0.0,1.0,0.0,1.0,13.0,2832.0,69.0,1.0,1.0,9084.0,76.0,20600.0,1.0,0.0,1.0,3.0,40359.0,3765.0,76.3,0.0,0.0,74.0,159.0,8.0,8.0,1.0,79.0,0.0,0.0,2.0,3.0,2.0,6.0,7.0,3.0,10.0,3.0,5.0,0.0,0.0,0.0,1.0,100.0,50.0,0.0,0.0,195700.0,18726.0,15900.0,4100.0,N,N
14,18000.0,0.1557,433.63,MORTGAGE,60000.0,Verified,Mar-2019,low_risk,n,62.8,0.0,0.0,9.0,0.0,116737.0,12.0,w,17690.93,17690.93,402.49,402.49,309.07,93.42,0.0,0.0,0.0,433.63,May-2019,0.0,1.0,Joint App,0.0,0.0,170509.0,0.0,3.0,0.0,3.0,15.0,53772.0,73.0,0.0,2.0,5480.0,73.0,122700.0,2.0,3.0,0.0,5.0,18945.0,4713.0,53.8,0.0,0.0,50.0,52.0,19.0,15.0,0.0,19.0,23.0,0.0,2.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,9.0,0.0,0.0,0.0,0.0,100.0,25.0,0.0,0.0,196496.0,170509.0,10200.0,73796.0,N,N
15,40000.0,0.225,1537.99,MORTGAGE,54000.0,Verified,Mar-2019,low_risk,n,59.09,0.0,0.0,19.0,0.0,54915.0,26.0,w,38862.01,38862.01,1437.99,1437.99,1137.99,300.0,0.0,0.0,0.0,1537.99,May-2019,0.0,1.0,Joint App,0.0,0.0,107194.0,1.0,3.0,2.0,2.0,6.0,52279.0,81.0,0.0,1.0,4962.0,87.0,59000.0,0.0,4.0,5.0,3.0,5642.0,475.0,97.5,0.0,0.0,153.0,194.0,22.0,6.0,0.0,26.0,8.0,0.0,9.0,15.0,9.0,11.0,6.0,16.0,20.0,15.0,19.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,123858.0,107194.0,19100.0,64858.0,N,N
16,14400.0,0.139,491.46,RENT,100350.0,Source Verified,Mar-2019,low_risk,n,30.42,0.0,2.0,27.0,1.0,33937.0,54.0,w,13807.54,13807.54,669.22,669.22,592.46,76.76,0.0,0.0,0.0,491.46,May-2019,0.0,1.0,Individual,0.0,0.0,104873.0,5.0,3.0,2.0,4.0,9.0,70936.0,77.0,7.0,9.0,9960.0,56.0,67100.0,5.0,0.0,5.0,13.0,4034.0,21643.0,55.8,0.0,0.0,136.0,80.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,18.0,13.0,15.0,24.0,23.0,27.0,18.0,27.0,0.0,0.0,0.0,9.0,98.1,7.7,1.0,0.0,156028.0,104873.0,49000.0,88928.0,N,N
17,9600.0,0.08810000000000001,304.43,RENT,92000.0,Not Verified,Mar-2019,low_risk,n,20.01,0.0,0.0,10.0,0.0,8705.0,21.0,w,9333.16,9333.16,295.03,295.03,266.84,28.19,0.0,0.0,0.0,304.43,May-2019,1.0,1.0,Individual,0.0,797.0,43218.0,0.0,3.0,2.0,3.0,10.0,34513.0,74.0,2.0,2.0,2220.0,74.0,11800.0,1.0,2.0,1.0,5.0,4322.0,533.0,91.5,0.0,0.0,170.0,304.0,7.0,7.0,0.0,9.0,7.0,4.0,3.0,6.0,3.0,3.0,12.0,7.0,8.0,6.0,10.0,0.0,0.0,0.0,4.0,76.2,100.0,0.0,0.0,58335.0,43218.0,6300.0,46535.0,N,N
18,16000.0,0.17190000000000003,399.28,MORTGAGE,72500.0,Source Verified,Mar-2019,low_risk,n,17.0,0.0,0.0,8.0,0.0,8081.0,39.0,w,15722.96,15722.96,368.72,368.72,277.04,91.68,0.0,0.0,0.0,399.28,May-2019,0.0,1.0,Individual,0.0,0.0,194870.0,1.0,2.0,1.0,2.0,9.0,44033.0,89.0,4.0,5.0,7003.0,79.0,16200.0,2.0,0.0,5.0,7.0,24359.0,629.0,92.6,0.0,0.0,181.0,304.0,2.0,2.0,5.0,2.0,0.0,0.0,2.0,4.0,2.0,11.0,13.0,5.0,21.0,4.0,8.0,0.0,0.0,0.0,5.0,100.0,50.0,0.0,0.0,217738.0,52114.0,8500.0,49727.0,N,N
19,20000.0,0.0756,622.68,RENT,175000.0,Not Verified,Mar-2019,low_risk,n,11.28,0.0,0.0,10.0,0.0,18629.0,23.0,w,19448.72,19448.72,605.88,605.88,551.28,54.6,0.0,0.0,0.0,622.68,May-2019,0.0,1.0,Individual,0.0,0.0,65106.0,1.0,2.0,1.0,1.0,2.0,46477.0,56.0,4.0,5.0,4508.0,61.0,25600.0,0.0,0.0,2.0,6.0,6511.0,4763.0,76.8,0.0,0.0,146.0,313.0,8.0,2.0,0.0,10.0,10.0,6.0,4.0,7.0,4.0,10.0,6.0,7.0,15.0,7.0,10.0,0.0,0.0,0.0,5.0,93.8,75.0,0.0,0.0,84966.0,65106.0,20500.0,55785.0,N,N
20,28000.0,0.1797,710.56,RENT,85000.0,Verified,Mar-2019,low_risk,n,20.19,2.0,0.0,9.0,0.0,12394.0,16.0,w,27513.07,27513.07,654.65,654.65,486.93,167.72,0.0,0.0,0.0,710.56,May-2019,0.0,1.0,Individual,0.0,0.0,37188.0,0.0,2.0,1.0,1.0,10.0,24794.0,52.0,0.0,0.0,3212.0,55.0,19300.0,1.0,0.0,2.0,1.0,4132.0,288.0,91.8,0.0,0.0,87.0,78.0,27.0,10.0,0.0,68.0,10.0,0.0,1.0,5.0,1.0,1.0,8.0,7.0,8.0,5.0,9.0,0.0,0.0,0.0,1.0,86.7,100.0,0.0,0.0,67437.0,37188.0,3500.0,48137.0,N,N
21,7500.0,0.0646,229.74,RENT,57500.0,Not Verified,Mar-2019,low_risk,n,11.52,0.0,0.0,7.0,1.0,7951.0,13.0,w,7291.79,7291.79,224.36,224.36,208.21,16.15,0.0,0.0,0.0,229.74,May-2019,0.0,1.0,Individual,0.0,0.0,11361.0,0.0,1.0,0.0,1.0,21.0,3410.0,57.0,1.0,1.0,5291.0,52.0,16000.0,2.0,0.0,1.0,2.0,1623.0,5082.0,60.3,0.0,0.0,175.0,430.0,12.0,12.0,0.0,12.0,12.0,1.0,3.0,4.0,4.0,5.0,5.0,6.0,8.0,4.0,7.0,0.0,0.0,0.0,1.0,84.6,0.0,1.0,0.0,21973.0,11361.0,12800.0,5973.0,N,N
22,19000.0,0.1033,406.79,MORTGAGE,38700.0,Source Verified,Mar-2019,low_risk,n,20.56,0.0,1.0,11.0,0.0,3042.0,27.0,w,19000.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,May-2019,0.0,1.0,Individual,0.0,0.0,102441.0,0.0,6.0,1.0,2.0,8.0,22911.0,71.0,0.0,1.0,0.0,58.0,12700.0,0.0,1.0,2.0,5.0,9313.0,8000.0,0.0,0.0,0.0,151.0,114.0,15.0,8.0,2.0,114.0,0.0,0.0,0.0,1.0,1.0,3.0,15.0,4.0,10.0,1.0,11.0,0.0,0.0,0.0,1.0,91.7,0.0,0.0,0.0,123125.0,25953.0,8000.0,32125.0,N,N
23,30000.0,0.0756,934.02,MORTGAGE,66600.0,Not Verified,Mar-2019,low_risk,n,11.77,1.0,3.0,19.0,0.0,23841.0,38.0,w,29160.48,29160.48,908.82,908.82,839.52,69.3,0.0,0.0,0.0,934.02,May-2019,0.0,1.0,Individual,0.0,0.0,131021.0,2.0,3.0,0.0,0.0,40.0,24608.0,149.0,3.0,4.0,12480.0,58.0,64900.0,0.0,3.0,4.0,4.0,6896.0,31521.0,42.6,0.0,0.0,268.0,225.0,2.0,2.0,3.0,6.0,1.0,0.0,8.0,9.0,9.0,14.0,13.0,13.0,20.0,9.0,19.0,0.0,0.0,0.0,3.0,94.4,11.1,0.0,0.0,182632.0,50731.0,54900.0,16562.0,N,N
24,13975.0,0.16399999999999998,342.83,RENT,67000.0,Verified,Mar-2019,low_risk,n,13.04,0.0,0.0,6.0,0.0,10530.0,8.0,w,13734.03,13734.03,317.36,317.36,240.97,76.39,0.0,0.0,0.0,342.83,May-2019,0.0,1.0,Joint App,0.0,0.0,532757.0,0.0,1.0,0.0,0.0,32.0,1792.0,20.0,0.0,0.0,6531.0,61.0,11000.0,0.0,1.0,1.0,1.0,88793.0,329.0,96.6,0.0,0.0,176.0,67.0,39.0,10.0,1.0,40.0,11.0,0.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,545200.0,12322.0,9600.0,9200.0,N,N
